CaseName,TotalRunningTime,RunningTime_1,RunningTime_2,RunningTime_3,RunningTime_4,RunningTime_5,RunningTime_6,DSC_AUC,NSD_AUC,DSC_Final,NSD_Final,DSC_1,DSC_2,DSC_3,DSC_4,DSC_5,DSC_6,NSD_1,NSD_2,NSD_3,NSD_4,NSD_5,NSD_6,modality,time_condition,spacing,shape,has_bbox,nb_classes
MR_BraTS-T1n_bratsgli_1158,2.979360580444336,0.0,1.0857844352722168,0.478137731552124,0.4649562835693359,0.4658381938934326,0.4846439361572265,0.6506337920812679,0.0,0.1998167638711984,0.0,0.0,0.0976976896630145,0.1217835585748938,0.1867742329788534,0.1933187737604141,0.1998167638711984,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(51, 218, 182)",False,3
MR_BraTS-T2f_bratsgli_0311,2.50543475151062,0.0,0.4565484523773193,0.5219950675964355,0.5182182788848877,0.5128343105316162,0.4958386421203613,0.4229499843754433,0.1242819529116736,0.2217522339131814,0.2485639058233472,0.0,0.0468521477423554,0.0492994859250862,0.0556734924937674,0.183674815128821,0.2217522339131814,0.0,0.0,0.0,0.0,0.0,0.2485639058233472,MR,True,[1. 1. 1.],"(62, 218, 182)",False,3
MR_heart-ACDC_ACDC_patient098_frame01_myo,2.4111440181732178,0.0,0.483530044555664,0.5005755424499512,0.483393907546997,0.4806358814239502,0.4630086421966553,2.779810443836704,3.157018161527113,0.7532109426021334,0.8646580135153591,0.0,0.5585889570552147,0.6603290676416819,0.7083554376657825,0.755225988700565,0.7532109426021334,0.0,0.6234274842833555,0.7332153004384803,0.8088687882373026,0.870891323951973,0.8646580135153591,MR,True,[ 1.25  1.25 10.  ],"(7, 256, 216)",False,1
CT_TotalSeg_organs_s0369,70.70564532279968,11.664182186126707,11.727121353149414,11.751558542251589,12.106904983520508,11.59510326385498,11.860774993896484,3.378822655366412,3.231617685319645,0.8600616407114234,0.8299354217883398,0.7837998009880803,0.8152173352429917,0.8312382489561728,0.8522974475458934,0.8576474708871373,0.8600616407114234,0.7116800122272047,0.7660698307520271,0.7913943233843438,0.81703561990396,0.8251851157611584,0.8299354217883398,CT,False,[1.5 1.5 1.5],"(407, 248, 248)",True,22
CT_TotalSeg_organs_s0380,49.0160174369812,7.931954622268677,7.972210884094238,8.009743213653564,8.328351974487305,8.514222860336304,8.259533882141113,3.4551876728207773,3.249740905837509,0.8812014731250596,0.843416658583259,0.7691048252351537,0.836737938734445,0.8583422644155434,0.8648731660591571,0.8730025364163246,0.8812014731250596,0.6766336012547918,0.7678760024078973,0.8010510871029958,0.8151608484275683,0.827882639811367,0.843416658583259,CT,False,[1.5 1.5 1.5],"(177, 287, 287)",True,16
CT_AbdTumor_case_00175,2.9212756156921387,0.4841189384460449,0.4843537807464599,0.5084974765777588,0.4750587940216064,0.4863131046295166,0.4829335212707519,3.337729960430414,3.4519298417678987,0.8327176001182208,0.8528694168367537,0.8289444890218105,0.8393254395407248,0.8419403091388276,0.8293838862559242,0.8303842452061894,0.8327176001182208,0.87014716044432,0.8829822136399377,0.887138851409159,0.8482770628317389,0.848588112288655,0.8528694168367537,CT,True,[0.73046875 0.73046875 5.        ],"(9, 512, 512)",True,1
MR_Spider_7_t1_ivd,19.51817393302917,3.1535587310791016,3.1585803031921387,3.11727237701416,3.244955062866211,3.545672655105591,3.2981348037719727,3.2891694917643277,3.59591208398675,0.8465664499806046,0.9286356220346212,0.6924183091715628,0.7653091773628794,0.812687780936227,0.8295574743959072,0.8409864227604512,0.8465664499806046,0.780494546929086,0.845494189770983,0.884760733856376,0.903190587728144,0.9208958564994278,0.9286356220346212,MR,False,[0.5859375  3.29999995 0.5859375 ],"(17, 512, 512)",True,7
MR_Spider_42_t2_vet,17.484132528305054,2.940868854522705,2.807636260986328,2.878680229187012,2.933522939682007,2.9819345474243164,2.941489696502685,3.1670519430607347,2.593850664157836,0.7939020317701945,0.6373730091486379,0.74472750017482,0.7819990733572646,0.7905377708684274,0.7941068995347962,0.7944567200937813,0.7939020317701945,0.6382512026465587,0.6515806543293773,0.6599806170613831,0.6466238612536269,0.6427693541038186,0.6373730091486379,MR,False,[0.50488382 4.38160169 0.60342924],"(16, 611, 513)",True,6
MR_crossmoda_crossmoda2023_ldn_23_ceT1,11.250604391098022,1.846519470214844,1.8859124183654783,1.898038387298584,1.8682608604431152,1.8603641986846924,1.8915090560913088,2.673757364458287,3.8810745236516233,0.6838243829599545,0.9761063898187108,0.5660796203438385,0.6425623562095568,0.6578489983262922,0.667466975002788,0.6852480215444507,0.6838243829599545,0.93395741694186,0.9661971655540968,0.9648318823936256,0.9683812680947732,0.9767095954768208,0.9761063898187108,MR,False,[0.41015625 0.41015625 1.5       ],"(8, 512, 512)",True,4
CT_TotalSeg_cardiac_s0085,19.29145646095276,3.0938808917999268,3.215780019760132,3.1503777503967285,3.2134134769439697,3.2191274166107178,3.398876905441284,2.756337382957231,2.69890422098107,0.7014785952652877,0.6905443377077087,0.5839627238116718,0.6616321750679172,0.6844308540368624,0.6955059520336903,0.6948451917200762,0.7014785952652877,0.5643205834266768,0.6444328657819127,0.6685379173705818,0.6785518480936774,0.6843258537720001,0.6905443377077087,CT,False,[1.5 1.5 1.5],"(95, 135, 135)",True,7
